ANO;MES;TOTAL
2017;02;5624
2017;09;6117
2018;12;5438
2020;01;5654
2020;04;4973
2018;08;7528
2019;08;7093
2020;09;9974
2021;03;11406
2021;07;10163
2021;08;11394
2018;04;6472
2018;05;7022
2018;06;5221
2019;09;9148
2019;11;8803
2019;12;4063
2020;10;9740
2020;12;7555
2021;01;12401
2017;08;6911
2019;03;6960
2019;05;5875
2020;02;6685
2020;03;8517
2020;08;6242
2018;11;6873
2019;06;6493
2019;10;5989
2021;06;9171
2021;09;8978
2021;11;1417
2017;01;6764
2017;10;6254
2017;11;5724
2019;02;7312
2018;02;5925
2018;03;6647
2019;01;8340
2021;10;9624
2017;03;6099
2017;05;6408
2017;12;4415
2018;01;7252
2018;09;6890
2018;10;7677
2019;04;7788
2020;11;9062
2021;02;10475
2021;04;8788
2017;04;4747
2017;06;5609
2017;07;6149
2018;07;6854
2019;07;7663
2020;07;9874
2020;05;4917
2020;06;6705
2021;05;9324
