ANO;MES;TOTAL
2017;02;2576
2017;09;1782
2018;12;5212
2020;01;3557
2020;04;2785
2018;08;5241
2019;08;5026
2020;09;7513
2021;03;8394
2021;07;9933
2021;08;8412
2018;04;3881
2018;05;4184
2018;06;3635
2019;09;6642
2019;11;8844
2019;12;4457
2020;10;7040
2020;12;6957
2021;01;12473
2017;08;2092
2019;03;4882
2019;05;5298
2020;02;5083
2020;03;4352
2020;08;5056
2018;11;4642
2019;06;5319
2019;10;7414
2021;06;7230
2021;09;7405
2021;11;1054
2017;01;3016
2017;10;2016
2017;11;2778
2019;02;5586
2018;02;3119
2018;03;3696
2019;01;7462
2021;10;7736
2017;03;2190
2017;05;3234
2017;12;3270
2018;01;4930
2018;09;4524
2018;10;5018
2019;04;5541
2020;11;7019
2021;02;6692
2021;04;6790
2017;04;2437
2017;06;1999
2017;07;1977
2018;07;4403
2019;07;5664
2020;05;3783
2020;06;4680
2020;07;6519
2021;05;7489
