ANO;MES;TOTAL
2017;02;2251
2017;09;928
2018;12;2422
2020;01;2023
2020;04;1423
2018;08;3060
2019;08;2245
2020;09;2922
2021;03;3840
2021;07;2872
2021;08;3972
2018;04;2729
2018;05;2714
2018;06;2359
2019;09;2802
2019;11;3371
2019;12;2280
2020;10;2758
2021;01;3775
2020;12;2779
2017;08;1165
2019;03;2714
2019;05;2480
2020;02;2686
2020;03;2730
2020;08;1922
2018;11;2516
2019;06;2375
2019;10;2983
2021;06;3018
2021;09;3463
2021;11;386
2017;01;2803
2017;10;1006
2017;11;881
2018;02;47950
2018;03;2770
2019;01;3408
2019;02;3115
2021;10;3490
2017;03;2192
2017;05;2832
2017;12;1074
2018;01;2742
2018;09;2493
2018;10;2673
2019;04;3020
2020;11;2766
2021;02;3481
2021;04;3069
2017;04;2414
2017;06;1057
2017;07;1017
2018;07;2750
2019;07;2680
2020;06;1834
2020;05;1566
2020;07;2739
2021;05;3175
